,Texto,Sentimento
23,"#ACORDAMINAS!!!!

O povo mineiro tem que da um pé na bunda  desse  canalha... https://t.co/ZKZNVmyXbg",Neutro
24,#beta #betalab #mg Afiliada da Globo: Apresentador no AM é demitido após criticar governador… https://t.co/hlH8ITxXig,Neutro
25,#beta #betalab #mg Caos nos presídios: AM pede apoio à União seis dias após massacre https://t.co/GRv0HkrX3T… https://t.co/YJy2RcSfWZ,Neutro
26,#beta #betalab #mg Caos nos presídios: Temer e Cármen Lúcia se reúnem para debater crise https://t.co/e34RNvtU7v… https://t.co/8xKwPTOv4C,Neutro
27,#beta #betalab #mg Crise carcerária: Governo de Roraima pede Força Nacional a Temer https://t.co/wLslS1T6ZI… https://t.co/NK4c5IhNUg,Neutro
28,#beta #betalab #mg Crise carcerária: Secretário de SP diz haver guerra de facções no país https://t.co/RSf2Tk1VmX… https://t.co/Sonel0f8Xq,Neutro
29,#beta #betalab #mg Crise política no DF se agrava: Rollemberg exonera vice-governador de cargo… https://t.co/idJfAELeW4 #timbeta #rt #brasil,Neutro
30,#beta #betalab #mg Escalada de violência nos presídios: AM pede apoio da Força Nacional;… https://t.co/ysX8TXSm50… https://t.co/NAly4Uxb5h,Neutro
31,#beta #betalab #mg Escalada de violência: Crime organizado no Brasil é disputado por 27… https://t.co/loRe3EfGaF… https://t.co/sSY5liKfMl,Neutro
32,"#beta #betalab #mg Estado afirma não ter sido notificado: Apesar de decisão judicial, reajuste…… https://t.co/IMG9Vxs4nK",Neutro
33,"#beta #betalab #mg Estado de espírito do paulistano: ""Voz"" do trânsito, buzina reflete pressa,…… https://t.co/hvLy03lyt3",Neutro
34,#beta #betalab #mg Estados falidos: Parte do PMDB quer barrar vetos de Temer na negociação de…… https://t.co/h9KQvBYlYV,Neutro
35,#beta #betalab #mg Ex-ministro e outros: Servidores da era PT se mantêm em cargos estratégicos… https://t.co/Q2Nor97ngg #timbeta #rt #brasil,Neutro
36,#beta #betalab #mg Ex-presidente da Câmara: Justiça suíça vê 'indícios concretos' contra… https://t.co/fwuwi8S4oD… https://t.co/w1W2SaN172,Neutro
37,#beta #betalab #mg Mais sobre o massacre: PF: Facção tinha 'cela de comando' dentro da prisão… https://t.co/W3Cr89L0dk,Neutro
38,#beta #betalab #mg Marketing e veto a medidas de Paes: De doação de sangue a capoeira: a 1ª…… https://t.co/xPnt6omym6,Neutro
39,#beta #betalab #mg Massacre em presídio de Manaus: Governo do AM rebate ministro da Justiça e… https://t.co/MaBb4airMU #timbeta #rt #brasil,Neutro
40,#beta #betalab #mg Mudanças propostas pelo governo: Reforma libera trabalhar 12 horas alguns…… https://t.co/eIDgx5Ak3n,Neutro
41,"#beta #betalab #mg Muitas páginas de investigação: ""QG"" da Lava Jato reúne mais de 30 milhões…… https://t.co/pQF48BKPMr",Neutro
42,"#beta #betalab #mg Nos últimos dois anos: Governo pagou R$ 2,4 bi a alvos da Lava Jato https://t.co/KN8C0LcReb… https://t.co/GDQVhjO1Hc",Neutro
43,"#beta #betalab #mg Nova chacina em presídio: PCC matou presos sem facção, diz governo de RR https://t.co/e17QVKbWVV… https://t.co/HJinQ9Y8aT",Neutro
44,#beta #betalab #mg Onda de violência nos presídios: Governo de Roraima divulga lista oficial…… https://t.co/HLcGf3UtCx,Neutro
45,#beta #betalab #mg Pede respeito aos direitos dos detentos: Defensoria Pública da União vai ao…… https://t.co/kKbLNKRXfi,Neutro
46,#beta #betalab #mg Pedido ao STF irritou Meirelles: Governo ameaça suspender aval para… https://t.co/cHJbFIKAOY… https://t.co/uSTdKS5mCn,Neutro
47,#beta #betalab #mg Reforma no poder da Venezuela: Maduro nomeia novo vice-presidente e troca…… https://t.co/BPMWBODUM2,Neutro
48,"#beta #betalab #mg Revista encontra armas e drogas: Rifle, 42 facas e roteador são achados em…… https://t.co/TlIOyQeKb0",Neutro
49,#beta #betalab #mg Rio reforçou Operação Praia: Sábado de calor tem confusão e roubo nas… https://t.co/TwU41FTyfq… https://t.co/fSPlWFWWVo,Neutro
50,#beta #betalab #mg Segundo agentes penitenciários: Presídios do RJ estão em alerta desde… https://t.co/jODEM3J6Y4… https://t.co/gLMfJEuCNS,Neutro
51,#beta #betalab #mg 'Tinha que matar mais': Secretário de Temer deixa cargo após dizer que… https://t.co/ZZm1TCutjz… https://t.co/OoJJ3GcokW,Neutro
52,#beta #betalab #mg UOL Confere a crise prisional: Gestão privada de presídio não exime… https://t.co/dj5fy2PIwi… https://t.co/wCmH4Qhxt7,Neutro
53,#beta #betalab #mg UOL Confere: Governo Temer distorce dados econômicos em propaganda de 120…… https://t.co/w4dzb3AgfT,Neutro
54,"#BRASILestáCHEIOdeMAMÃEsouFODA #METADEdoBRASILpertenceaosPOLÍTICOSaoutraédosBANCOSeEMPRESÁRIOS
- Estado de Minas https://t.co/2YrgURW1zL",Neutro
55,#brasilmetropole Saúde mantém estado de atenção e investiga casos de febre amarela https://t.co/HAq4OMqMJK,Neutro
56,"#Cidades Com a alta incidência, a Secretaria de Estado de Saúde mantém alerta para moradores e visitantes de 15... https://t.co/qsntM0quLy",Neutro
57,#COPINHANAREDEVIDA  Eu e meu pai ligado na copinha pela Rede Vida! SOMOS DE GOVERNADOR VALADARES MG,Neutro
58,#EducaçãoMG Governo de Minas Gerais reconhece Folias de Reis como Patrimônio Imaterial do Estado.… https://t.co/YvVFinjaLL,Neutro
59,#ForçaMichael O atacante Michael sofreu um traumatismo craniano após colidir com uma vaca em Minas e está em estado… https://t.co/dja4NqF1ZD,Neutro
60,"#holachilevierneschico jajaja los wns preparados, nada al azar #califa las minas abran estado tan buenas,como para haber asumido el riesgo?",Neutro
61,#i5gornascimento @i5gornascimento @cristiano UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/NnA9YFp4BP,Neutro
62,"#i5gornascimento @i5gornascimento g1 Corpo em estado de decomposição é encontrado em Poços de Caldas, MG https://t.co/ndVVD6kdly",Neutro
63,#i5gornascimento @i5gornascimento g1 Vereadores de Governador Valadares não terão 13º salário em 2017 https://t.co/9dJnmDxEAI,Neutro
64,#i5gornascimento @i5gornascimento Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/ZcuZugp8dq,Neutro
65,#i5gornascimento @i5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/FYeEFvieCy,Neutro
66,"#ImpeachmentPimentel #PTNuncaMais 
Mesmo em calamidade financeira, governo de MG compra mais dois helicópteros https://t.co/rcLSmbvdoH",Neutro
67,"#ImpeachmentPimentel #PTNuncaMais #ForaPT #ForaPCdoB #ForaPSOL #ForaRede 
https://t.co/0RRGhWdmdB",Neutro
68,"#Janeiro, #PartiuFerias, GOVERNADOR VALADARES/MG, Pousada Vale Silvestre EcoPark, Comprar: https://t.co/rNRqRFbUeM… https://t.co/2UyZ6Ojdp7",Neutro
69,"#Janeiro, #PartiuFerias, GOVERNADOR VALADARES/MG, Pousada Vale Silvestre EcoPark, Comprar: https://t.co/rNRqRFbUeM… https://t.co/qw78x6qm7k",Neutro
70,"#jornaldacultura
Por Favor comentem a compra de dois helicópteros pelo governo de Minas Gerais e o uso do Helicópteros por Pimentel",Neutro
71,#METADEdoBRASILpertenceaosPOLÍTICOSaoutraédosBANCOSeEMPRESÁRIOS  Politica - Estado de Minas https://t.co/usvOMucmuq,Neutro
72,#Microsoft  #lumia galera hj descobrir que aqui n estado do rio de janeiro n tem autorizada .(S.PAULO E MINAS ) NAO COMPREI WINDOWS PHONE,Neutro
73,#Mídia:  Press Release from Business Wire : Consumer Technology ... - Estado de Minas https://t.co/FGoxtwksdM,Neutro
74,#Mídia:  Press Release from Business Wire : Digital Living Network Alliance - Estado de Minas https://t.co/wj7wMchv8S,Neutro
75,#Mídia:  Press Release from Business Wire : IBC - Estado de Minas https://t.co/Uy5QuJo8wx,Neutro
76,#MINAS Postos dos Sine oferecem mais de 1.500 vagas de emprego no estado https://t.co/ZTrZ8MGrRp #Trabalho #Emprego #MG #Oportunidades,Neutro
77,#Mortalidade por câncer cai 25% em 25 anos nos Estados Unidos - Estado de Minas https://t.co/fsZg1D8WCL,Neutro
78,#musicagratis Fundação Hospitalar do Estado de Minas Gerais (FHEMIG): A Fundação Hospitalar…… https://t.co/JXxZCenikX,Neutro
79,#musicagratis Ministério Público de Minas Gerais (Araxá): O Ministério Público do Estado de…… https://t.co/4WqHRHwxOg,Neutro
80,"#musicagratis Prefeitura de Rodeiro: A Prefeitura de Rodeiro, no Estado de Minas Gerais,… https://t.co/kdGlkcQKcG… https://t.co/NyF4ZQiZqm",Neutro
81,#noticiasdorenan Governo de Minas Gerais reconhece Folias de Reis como Patrimônio Imaterial… https://t.co/AL18Rr45X3,Neutro
82,#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL: Desastre ambiental em MG: Empresas ped… https://t.co/kwyeKjhtcI,Neutro
83,#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL: Governo em calamidade financeira: BB a… https://t.co/1rWaHUACqt,Neutro
84,#OperacaoBetaLab #TimBeta #Beta #BetaLab #BetaAjudaBeta #BetaSegueBeta UOL: Polêmica com filho de Pimentel: Govern… https://t.co/E1EhSA9Ti3,Neutro
85,#PedroMotta visita as memórias da infância na série #FrutosEstranhos da exposição #EstadodaNatureza � Visite:… https://t.co/Fti430VnjI,Neutro
86,#pré_hospitalar homem estado alterado de consciência dificuldade respiratória pressão elevada em supermercado no b são benedito av brasilia,Neutro
87,"#road #trip #mg #car #gopro @ Governador Valadares, Minas Gerais https://t.co/v6LZ557K6d",Neutro
88,"#SomosTodosMoro 

Presidente do STJ mantém preso ex-subsecretário da gestão Kassab - Politica - Estado de Minas https://t.co/ybrMKDnZ7Z",Neutro
89,"#Supercluster #Oracle (@ Secretaria de Estado da Fazenda in Belo Horizonte, MG) https://t.co/Raj2oJz8tq",Neutro
90,#SUS SES-MG convoca coletiva para falar da situação da #FebreAmarela no estado @SaudeMG @GotasSalvadoras https://t.co/TEydsKsvnB,Neutro
91,#SUS SES-MG convoca coletiva para falar da situação da #FebreAmarela no estado https://t.co/7RwhYPH1Oz https://t.co/lfICLTfvxZ,Neutro
92,"#timbeta #globo Após ser agredida, mulher atira contra homem em Governador Valadares https://t.co/LSQcIK1ugn #OperacaoBetaLab #Sigodevolta",Neutro
93,"#timbeta #globo Corpo em estado de decomposição é encontrado em Poços de Caldas, MG https://t.co/QIT9YlYMog #OperacaoBetaLab #Sigodevolta",Neutro
94,#timbeta #globo Defesa Civil de MG confirma 16ª morte pela chuva no estado https://t.co/SYMRdMAXFX #OperacaoBetaLab #Sigodevolta,Neutro
95,#timbeta #globo Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/888hGlseNv #OperacaoBetaLab #Sigodevolta,Neutro
96,#timbeta #globo Homem é morto a tiros após deixar presídio em Governador Valadares https://t.co/ecLiHQp1VR #OperacaoBetaLab #Sigodevolta,Neutro
97,#timbeta #globo MG é o quarto estado a garantir o direito à amamentação em público https://t.co/sCrrQLncHs #OperacaoBetaLab #Sigodevolta,Neutro
98,#timbeta #globo PM apreende armas usadas em homicídio em Governador Valadares https://t.co/YEFA0XEdKB #OperacaoBetaLab #Sigodevolta,Neutro
99,#timbeta #globo Polícia Militar apreende 30 kg de maconha em Governador Valadares https://t.co/eK1qMAUL36 #OperacaoBetaLab #Sigodevolta,Neutro
100,#timbeta #globo UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/Fd8uVtW5bm #OperacaoBetaLab #Sigodevolta,Neutro
101,#timbeta #globo Vereadores de Governador Valadares não terão 13º salário em 2017 https://t.co/YA3HKtxvza #OperacaoBetaLab #Sigodevolta,Neutro
102,* #MG Y con tu Apellido tiro un Estado.. ☺�����,Neutro
103,"*

Fajuta nobreza 
petista tetas desfruta 
frente um povo à míngua?

- FLASh

https://t.co/4Nx0PxhjkN
https://t.co/Da3yOB38Qm

.",Neutro
104,"@__MathLaham @1psicopatar @samuelcost4 não sabia que o Estado de Minas existia em 1926, amigo...E detalhe:isso só apareceu depois de 2011 rs",Neutro
105,@_pereiraclayton em Minas ta seu cu kkkkkk estou no mesmo estado q você palhaço ��,Neutro
106,"@a_alinediniz parabéns vc emplacou o release no estadão,  folha,  o globo,  isto é e Veja. Na próxima vez consiga SPTV,  Estado de Minas...",Neutro
107,"@AdemirAlvim @pdevechi Estado de Minas melhorando a manchete tb... só não falou que eram negros, mas mencionou a motivação política.",Neutro
108,"@AL_Kaio_ acho que não 4 de SP, 4 do RJ, 3 de MG, 3 do RS, e 3 do ES! Todos se enfrentavam e o melhor de cada estado passava pras semis",Neutro
109,@AnaPaulaVolei e tem mais essa: https://t.co/BnDsO34qK0,Neutro
110,@Anastasia @revistaencontro Espero que você seja o próximo governador das Minas Geraes!,Neutro
111,"@andregallindo @R2renatoribeiro @JornalOGlobo Sou de minas, flamenguista e é triste, muito triste ver o maior palco do futebol neste estado.",Neutro
112,"@anterogreco @gianoddi @rafaelribeiro se der, manda um abraço para os palmeirenses aqui de governador Valadares MG, Antero.",Neutro
113,@AREZZO_ estou em outro estado! Comprei durante as férias em MG.,Neutro
114,@AxelRolonOk Y tiene 7 mg este estado que nadie se venga a hacer la inocente��,Neutro
115,"@azeredo_mg @STF_oficial @MichelTemer Justamente isso, morreu bandido é indenizado, enquanto isso os inocentes estão sem aparo do governo",Neutro
116,"@b3arland eu sou do interior de MG, mas minha cidade faz divisa com o estado de SP. O mais perto que eu conheço aqui é o Breno",Neutro
117,@baekliar o governo de minas dá ate estojo???????socorro,nojo
118,"@Bella_DiGenaro y patea con las 2 patas, además el wueon es zurdos, con todas las minas buenas q a estado, se le va el gusto atrás?",Neutro
119,"@betorosio Bom dia professor!!!!
Estou aqui em governador valadares/MG assistindo o melhor professor  você :) 
Abracoooo Taynnara",Neutro
120,"@BlogDoPim @carioca556 
O Aécio quando governador de Minas fez mais de 1.200 viagens para ir a praia no  Rio de Janeiro , cadê a indignação?",Neutro
121,"@cartacapital isso tudo é um absurdo, legal mesmo é isso aqui https://t.co/TnVZQTadaD",Neutro
122,"@Castro2Monica então, qual é o governador das Minas Gerais?",Neutro
123,@ClaroPeru q era 700 mg mas no de ahi c cortaba mis megas como a estado ocurriendo inclusive los 1ero meses no tube megas!!,Neutro
124,"@claudfeb @mayrasmendoza @CFKArgentina Andar con minas no, pelotudo, pagarlas con guita del Estado, sí:

https://t.co/qxXLK6POMU",Neutro
125,@Codevasf e @governomg discutem retomada do convênio para construção da barragem do Jequitaí. Veja:… https://t.co/ndMvqAk49E,Neutro
126,@ConsuladosGalo Boa tarde. Consulado do Galo de Governador Valadares/MG. Ajude a divulgar. ObriGalo.,Neutro
127,@cotonewers praticamente hahah uma parte da minha família é de mg. Pra mim é o melhor estado p passear no Brasil �,Neutro
128,@deeh_gerhardt https://t.co/TONVnZGvHq,feliz
129,"@dibiaseneves vão se apaixonar pelo melhor estado do Brasil e pelo MAIOR de MG, sejam bem vindos a BH. #cruzeirosempre #maiordeminas",Neutro
130,@digaoi a internet ta ruim no estado de MG ?,Neutro
131,"@diogo_cc estou hahahaha mas trabalho mais pro impresso, Estado de Minas",Neutro
132,@doidao_galo @_FSEP @twitpalmeiras kkkk mineirao e do governo de Minas.  Aí joga no indepencia pq torcida só enche caixa de fósforo,Neutro
133,"@DonaMed_VE 
Clindomicina
Pastilla
300 mg 
Municipio  sucre  petate
Estado miranda caracas",Neutro
134,@DonaMed_VE BUSCO EN VALENCIA ESTADO CARABOBO SOMAZINA PASTILLA 500 MG CONTACTO 04162571719 04124011533,Neutro
135,@droguerianena.Buenas tardes para saber si hay disponible abretia o strattera de 10 o 18 mg en la sucursal del Estado Lara.Gracias,Neutro
136,@ElPoliTwico AYUDA HOY ES UNA NIÑA CON MENINGITIS. mañana puede ser cualquiera. Su estado es grave x falta d medicamento Aciclovir 500 mg.,Neutro
137,"@em_com MG, o estado da idade do ferro, e sua capital",Neutro
138,@em_com vão cobrir isto? https://t.co/SNYMRfQ737,Neutro
139,"@esd4n ninguno, a decir verdad he estado con minas peores",Neutro
140,@evaristocosta já visitou o estado de MG? Se sim o que achou?,Neutro
141,"@filiperabelo @JocaMani
É apenas uma proposta pelo reserva do Fred (tá caro!)... Não é a compra do Estado de Minas (Tchê Tchê + Moisés)
�",Neutro
142,@FlowstreetYT bueno ese mg no ha estado nada mal lool omgggg!!!Gracias Flowiiii,Neutro
143,@ForunsMG vão eleger novos prefeitos e vereadores para o Colegiado Executivo e avançar na participação popular.… https://t.co/hLjmXWoK4i,Neutro
144,@FutDados William não tem mais clima para prosseguir no maior time do Estado de Minas Gerais ... fora William...�⚽️,Neutro
145,"@Fute_Minas O complicado é isso! Desse jeito nunca teremos uma terceira, quarta força no estado! Não da pros clubes do interior investir!",Neutro
146,"@GaloAustralia incorreto. No socialismo, a elite nunca se fode. O Estado fede.",Neutro
147,"@Galonopeito1 Se Minas tivesse mar, esse Estado ia ser o paraíso hahaha ❤",Neutro
148,@geraldoalckmin_ boa noite governador gostaria de um emprego trabalho na área da indústria meu governador PT Minas Gerais,Neutro
149,@gercinu tu estás em MG? Há uma zona de baixa pressão em cima do estado que impede a formação de nuvens.,Neutro
150,"@GilzanaCarvalho SP é realmente fascinante,tem vários contrastes,mas Minas é um estado bom tbm...alias o Brasil é um Belo Pais,so q mau adm�",Neutro
151,"@helhaodoaxe @ninobec @penso_ra @JornalOGlobo Estado de Minas, bunitão, chegados do Aécio. https://t.co/sjkpoMJvqX",Neutro
152,@hidselena minas gerais estado do pão de queij,Neutro
153,@HSOGameplays  vc e de qual estado de minas so para saber mesmo se pa e meu vizinho,Neutro
154,@i5gornascimento #i5gornascimento Governador Valadares registra dois assassinatos em menos de uma hora https://t.co/yM8IsmD4Wn,Neutro
155,@i5gornascimento #i5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/5sutw56PxJ,Neutro
156,@I5gornascimento @I5gornascimento #I5gornascimento Governador Valadares registra dois assassinatos em menos de ... https://t.co/7IiBGRNW9l,Neutro
157,@I5gornascimento @I5gornascimento #I5gornascimento UFJF abre 62 vagas para cursos em Governador Valadares https://t.co/4MiJlXKxoW,Neutro
158,@Independent  o melhor queijo do mundo é daqui do Brasil mais exatamente do estado de Minas Gerais,Neutro
159,@IPAFARMA @Avivasa1965 buenos días. Tienen stalevo de 100 mg. Vivo en el Estado Nueva Espsrta,Neutro
160,"@jcavaa Cuando vi tu nombre como ganador del #EuroLogo me sonaste mucho, tras 3 días, me doy cuenta de que me has estado dando mg en insta�",Neutro
161,@jeffs_araujo35 @sjayanthi @Ueiler2 @virginiaduailib Conheço bem as APACs de quando trabalhei no governo de MG...,Neutro
162,@JoanapereiraF Olá! Podemos usar a sua foto no jornal Estado de MInas? Obrigada!,Neutro
163,@jonanperrea @holdmenouis_ mejor!! Eswue estado unos días sin conectarme por estudiar y aunque siempre intento darte mg y comentar! Un besoo,Neutro
164,"@jornal_cultura @tvcultura 
Por Favor comentem a compra de dois helicópteros pelo governo de Minas Gerais e uso do Helicópteros por Pimentel",Neutro
165,"@JoseAMeadeK Los abusos, aun en el estado mas sólido, son minas sordas que tarde o temprano estallan.",Neutro
166,@JustMoveOn10 #TeamBTS confieso que me da pena que mi ex me haya cambiado altiro con varias minas y yo ni siquiera he estado con otro:)))),Neutro
167,@Kefera teria como doar sangue pra ele morando em outro estado? eu sou de Minas e gostaria de ajudar,Neutro
168,"@kellybh1 Olá Kelly, somos do estado do Paraná, mas o serviço 181 está em Minas Gerais também! Ligue 181 e denuncie!",Neutro
169,"@lancenet aqui em Minas nenhum dos grandes portais (itatiaia, superesportes, Estado de Minas) noticia isso. Até os setoristas desconhecem",Neutro
170,@Laurinahloves5h @WorlDms91 aja si y por eso le diste mg a su estado para que te mande preguntas al chat ��� basta no puedo,Neutro
171,@leonardogoncal7 qual sua principal meta pra 2017? Que Deus te abençoe cada dia mais ❤ (volta pra Governador Valadares/MG hahah),Neutro
172,@LocatelVzla_ATC buenos días me pueden informar si hay stalevo de 100 mg en Locatel la limpia Estado Zulia?,Neutro
173,@Lucas_htt anuncia no estado de minas o bcta kkkkkkk,Neutro
174,@Lucianaleiva99 mira no me quiero ni imaginar ese estado. Así mg,Neutro
175,@lucosttab eu fico meio pistola porque minas é o estado que mais produz café porém o melhor vai pro exterior e aqui do msm custa absurdos,Neutro
176,@LuliiPrimo MG tengo que ser sirvienta tuya hasta 2018 por mi estado,Neutro
177,@MacarenaTablada amm que le pones mg a mo estado. El finde hagamos algo asi te despedimos . Dspea te vamos a extrañarrr,Neutro
178,"@mangelrogel a mi mg tu vídeo qsyo yo no lo relacione con tu estado de ánimo, lo vi medio realista, eso le da el toke de queda ahr",Neutro
179,@ManoloMontalt Paco Roig en estado puro Manolo... Jajaja!!! Me rio por no llorar :(,Neutro
180,@marcelorubens É https://t.co/6lRueqop6N,Neutro
181,"@MarcoPaolo He estado en conciertos dnd las minas son una + empujando y pegando pero no, dale con el prejuicio que… https://t.co/scssXuac0t",Neutro
182,"@MarcosV60958142 Só lembrando que este crápula,mesmo com todo o apoio da mídia e dessas eleições controladas,NÃO VENCEU EM MG (estado dele)",Neutro
183,@McOmghall @OcenMind Segura q no es el estado quien les cede la explotación d las minas a cambio d parte de la producción?,Neutro
184,"@mcveylands donde viste esa mierda, bryana es la más agradable de las minas que han estado con 5sos",Neutro
185,"@meditotal buenos días. Tienen stalevo de 100 mg? Vivo en el Estado Nueva Esparta, con urgencia",Neutro
186,"@mgfernetmgbirra 10 horas antes borraste mi estado, sacaste nuestra foto de todos lados,y le diste mg a una zorra �",Neutro
187,@MichelTemer Esses sim precisam de indenizaçao do governo. @GloboNews https://t.co/BZtYad6JTe,Neutro
188,"@mrc_mg Non basta cambiare canale, bisogna cambiare ennesimo Governo abusivo e soprattutto politici arroganti",Neutro
189,@mtv_anab esse sotaque de minas seu ❤❤❤ melhor estado não é msm? Amo! https://t.co/4jwaOrTNMp,Neutro
190,"@Multi_Anime no puedo decidirme, por eso di MG y RT. Mi infancia sin alguno de los dos hubiera estado incompleta.",Neutro
191,"@mvbill Salve,em MG ta do mesmo estado",Neutro
192,"@NataliaAssis0 Se você mora em Água Doce do Norte-ES, as capela mais próximas ficam em Governador Valadares-MG e Nova Venécia-ES.",Neutro
193,@OAB_MG Segue o causador da nota https://t.co/4KoFl11vNW,Neutro
194,"@oficialmchariel vou te dar uma dica, não vai mais pra BH fazer show, vai pra Governador Valadares MG que vai dar certo cola que é sucesso +",Neutro
195,@omonstax Porq vc não pensou em fazer faculdade aqui em mg? Ou mais pertinho do meu estado.,Neutro
196,@otempo vão cobrir isto? https://t.co/SNYMRfQ737,Neutro
197,@pauloralin professor mande um abraço pra turma de Governador Valadares! MG,Neutro
198,@PietroCamargos estado em q ironicamente os pedágios eram mt mais caro q os de minas,Neutro
199,"@radioitatiaia olhar para os bairros, tem tudo pra ser o futuro governador de minas.",Neutro
200,"@rafaelyancabj provavelmente é mano, muda de estado pra estado

tipo em mg skol é ruim e brahma é boa, aqui é o contrário disso",Neutro
201,@Raiaum amigo quero muito estou completamente apaixonada pelo grande estado de MG,Neutro
202,"@raphaelribaz pato branco - Minas Gerais???
Desculpa, eu sou tipo Priscila e Yudi, se eu ouvir nome de cidade tenho que falar o estado...",Neutro
203,"@ReisDdaniel qualquer 1 tem mais brasileiro q o alt mineiro. ate o bahia se trocasse de estado com o cruzeiro ,bahia seria o maior de minas",Neutro
204,"@rocsrodrigo @lucianaccc Não é a realidade de todas, mas MG, DF, GO, dentre outros. São totalmente diferentes de um Estado p outro.",Neutro
205,"@rod0liveira leio o estado de minas impresso quase todo dia. Domingo é certo

Ler jornal é gostoso demais",Neutro
206,"@samuelvenancio as frangas piram com nossa marca ""MAIOR DE MINAS""! 
Chupa terceira torcida do estado. Todos sabem, fla é a segunda de minas�",Neutro
207,"@sebuscasedona @FundacionBADAN se solicita HERCEPTIN DE 440 MG PARA PACIENTE MARIANA REINOZA, ESTADO MERIDA",Neutro
208,"@sebuscasedona Buenos días, requiero paroxetina o fluoxetina de 20 mg o prozac, en Valencia, Estado Carabobo.  Agradecida de antemano.",Neutro
209,@Seriacoswik @marcovanbastenr @blogvaimengao @_AFlamenguista @jaimetricolorSP estado RJ/SUL/MG. Parece quase um brasileirão né?,Neutro
210,"@Silviamorena78 @g1 Você quer que deixe nas mãos do Estado para morrer mais?
https://t.co/RBWqmSKsTB",Neutro
211,@srsbianca governador valadares mg ���,Neutro
212,@teresalopp como sabía que ibas a dar mg a ese tweet... sabes que he estado a punto de mencionarte en él? Simbiosis de primas everywhere��,Neutro
213,"@thneves10 Bem vindo ao maior de Minas, aqui despontou Ronaldo Fenômeno e o clube com mais troféus do estado. https://t.co/vOZ9bfIHbr",Neutro
